"Plot Title: 8 m UPH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641368, SEN S/N: 20641368, LBL: 8 m)","Intensity, Lux (LGR S/N: 20641368, SEN S/N: 20641368, LBL: 8 m)"
1,06/24/20 05:00:00 PM,3.998,279.9
2,06/24/20 05:30:00 PM,3.998,161.5
3,06/24/20 06:00:00 PM,3.893,161.5
4,06/24/20 06:30:00 PM,3.893,53.8
5,06/24/20 07:00:00 PM,3.998,107.6
6,06/24/20 07:30:00 PM,3.893,0.0
7,06/24/20 08:00:00 PM,3.893,0.0
8,06/24/20 08:30:00 PM,4.207,64.6
9,06/24/20 09:00:00 PM,3.893,10.8
10,06/24/20 09:30:00 PM,3.788,0.0
11,06/24/20 10:00:00 PM,4.102,0.0
12,06/24/20 10:30:00 PM,4.102,0.0
13,06/24/20 11:00:00 PM,3.893,0.0
14,06/24/20 11:30:00 PM,4.102,0.0
15,06/25/20 12:00:00 AM,3.893,0.0
16,06/25/20 12:30:00 AM,3.893,0.0
17,06/25/20 01:00:00 AM,3.998,0.0
18,06/25/20 01:30:00 AM,3.893,0.0
19,06/25/20 02:00:00 AM,3.893,0.0
20,06/25/20 02:30:00 AM,3.893,0.0
21,06/25/20 03:00:00 AM,3.893,0.0
22,06/25/20 03:30:00 AM,3.893,0.0
23,06/25/20 04:00:00 AM,3.893,0.0
24,06/25/20 04:30:00 AM,3.893,0.0
25,06/25/20 05:00:00 AM,3.998,0.0
26,06/25/20 05:30:00 AM,3.998,0.0
27,06/25/20 06:00:00 AM,3.998,0.0
28,06/25/20 06:30:00 AM,3.998,10.8
29,06/25/20 07:00:00 AM,3.998,10.8
30,06/25/20 07:30:00 AM,3.998,21.5
31,06/25/20 08:00:00 AM,3.998,75.3
32,06/25/20 08:30:00 AM,3.998,161.5
33,06/25/20 09:00:00 AM,3.998,419.8
34,06/25/20 09:30:00 AM,3.998,150.7
35,06/25/20 10:00:00 AM,3.893,236.8
36,06/25/20 10:30:00 AM,3.893,204.5
37,06/25/20 11:00:00 AM,3.893,344.4
38,06/25/20 11:30:00 AM,3.893,107.6
39,06/25/20 12:00:00 PM,3.893,312.2
40,06/25/20 12:30:00 PM,3.998,366.0
41,06/25/20 01:00:00 PM,4.102,344.4
42,06/25/20 01:30:00 PM,4.102,398.3
43,06/25/20 02:00:00 PM,4.102,785.8
44,06/25/20 02:30:00 PM,4.102,645.8
45,06/25/20 03:00:00 PM,3.998,775.0
46,06/25/20 03:30:00 PM,3.998,839.6
47,06/25/20 04:00:00 PM,3.893,1550.0
48,06/25/20 04:30:00 PM,3.998,2755.6
49,06/25/20 05:00:00 PM,3.998,452.1
50,06/25/20 05:30:00 PM,3.998,1894.5
51,06/25/20 06:00:00 PM,3.893,322.9
52,06/25/20 06:30:00 PM,4.207,1377.8
53,06/25/20 07:00:00 PM,4.207,742.7
54,06/25/20 07:30:00 PM,3.998,161.5
55,06/25/20 08:00:00 PM,3.998,21.5
56,06/25/20 08:30:00 PM,4.207,21.5
57,06/25/20 09:00:00 PM,4.207,0.0
58,06/25/20 09:30:00 PM,3.893,0.0
59,06/25/20 10:00:00 PM,3.893,0.0
60,06/25/20 10:30:00 PM,3.893,0.0
61,06/25/20 11:00:00 PM,4.102,0.0
62,06/25/20 11:30:00 PM,4.102,0.0
63,06/26/20 12:00:00 AM,3.998,0.0
64,06/26/20 12:30:00 AM,4.102,0.0
65,06/26/20 01:00:00 AM,4.102,0.0
66,06/26/20 01:30:00 AM,4.102,0.0
67,06/26/20 02:00:00 AM,4.102,0.0
68,06/26/20 02:30:00 AM,3.788,0.0
69,06/26/20 03:00:00 AM,3.893,0.0
70,06/26/20 03:30:00 AM,3.893,0.0
71,06/26/20 04:00:00 AM,3.893,0.0
72,06/26/20 04:30:00 AM,3.788,0.0
73,06/26/20 05:00:00 AM,3.788,0.0
74,06/26/20 05:30:00 AM,3.683,0.0
75,06/26/20 06:00:00 AM,3.683,0.0
76,06/26/20 06:30:00 AM,3.788,21.5
77,06/26/20 07:00:00 AM,3.788,32.3
78,06/26/20 07:30:00 AM,3.893,32.3
79,06/26/20 08:00:00 AM,3.893,258.3
80,06/26/20 08:30:00 AM,3.893,1237.9
81,06/26/20 09:00:00 AM,3.788,86.1
82,06/26/20 09:30:00 AM,3.893,96.9
83,06/26/20 10:00:00 AM,3.893,129.2
84,06/26/20 10:30:00 AM,3.893,139.9
85,06/26/20 11:00:00 AM,3.893,161.5
86,06/26/20 11:30:00 AM,3.998,269.1
87,06/26/20 12:00:00 PM,3.998,430.6
88,06/26/20 12:30:00 PM,3.998,312.2
89,06/26/20 01:00:00 PM,3.998,742.7
90,06/26/20 01:30:00 PM,3.893,818.1
91,06/26/20 02:00:00 PM,3.998,904.2
92,06/26/20 02:30:00 PM,3.998,1011.8
93,06/26/20 03:00:00 PM,3.893,914.9
94,06/26/20 03:30:00 PM,3.893,1722.2
95,06/26/20 04:00:00 PM,3.893,2583.4
96,06/26/20 04:30:00 PM,3.893,1356.3
97,06/26/20 05:00:00 PM,3.998,1722.2
98,06/26/20 05:30:00 PM,4.102,1980.6
99,06/26/20 06:00:00 PM,4.102,1980.6
100,06/26/20 06:30:00 PM,3.893,107.6
101,06/26/20 07:00:00 PM,3.998,226.0
102,06/26/20 07:30:00 PM,3.998,419.8
103,06/26/20 08:00:00 PM,3.998,64.6
104,06/26/20 08:30:00 PM,4.102,21.5
105,06/26/20 09:00:00 PM,3.998,10.8
106,06/26/20 09:30:00 PM,3.998,0.0
107,06/26/20 10:00:00 PM,3.893,0.0
108,06/26/20 10:30:00 PM,3.893,0.0
109,06/26/20 11:00:00 PM,4.311,0.0
110,06/26/20 11:30:00 PM,3.893,0.0
111,06/27/20 12:00:00 AM,3.788,0.0
112,06/27/20 12:30:00 AM,3.788,0.0
113,06/27/20 01:00:00 AM,4.102,0.0
114,06/27/20 01:30:00 AM,3.893,0.0
115,06/27/20 02:00:00 AM,4.102,0.0
116,06/27/20 02:30:00 AM,4.102,0.0
117,06/27/20 03:00:00 AM,3.998,0.0
118,06/27/20 03:30:00 AM,3.998,0.0
119,06/27/20 04:00:00 AM,3.998,0.0
120,06/27/20 04:30:00 AM,3.998,0.0
121,06/27/20 05:00:00 AM,3.998,0.0
122,06/27/20 05:30:00 AM,3.893,0.0
123,06/27/20 06:00:00 AM,3.893,0.0
124,06/27/20 06:30:00 AM,3.893,0.0
125,06/27/20 07:00:00 AM,3.998,0.0
126,06/27/20 07:30:00 AM,3.998,0.0
127,06/27/20 08:00:00 AM,4.102,21.5
128,06/27/20 08:30:00 AM,4.102,43.1
129,06/27/20 09:00:00 AM,4.102,43.1
130,06/27/20 09:30:00 AM,3.998,344.4
131,06/27/20 10:00:00 AM,3.998,301.4
132,06/27/20 10:30:00 AM,3.998,150.7
133,06/27/20 11:00:00 AM,3.998,226.0
134,06/27/20 11:30:00 AM,4.102,452.1
135,06/27/20 12:00:00 PM,4.311,527.4
136,06/27/20 12:30:00 PM,4.207,581.3
137,06/27/20 01:00:00 PM,4.207,893.4
138,06/27/20 01:30:00 PM,4.102,775.0
139,06/27/20 02:00:00 PM,4.102,1065.6
140,06/27/20 02:30:00 PM,4.102,1184.0
141,06/27/20 03:00:00 PM,3.998,344.4
142,06/27/20 03:30:00 PM,4.102,904.2
143,06/27/20 04:00:00 PM,3.893,688.9
144,06/27/20 04:30:00 PM,3.998,871.9
145,06/27/20 05:00:00 PM,3.998,1463.9
146,06/27/20 05:30:00 PM,3.998,538.2
147,06/27/20 06:00:00 PM,4.102,613.5
148,06/27/20 06:30:00 PM,4.102,64.6
149,06/27/20 07:00:00 PM,3.998,215.3
150,06/27/20 07:30:00 PM,3.893,64.6
151,06/27/20 08:00:00 PM,4.102,32.3
152,06/27/20 08:30:00 PM,4.207,10.8
153,06/27/20 09:00:00 PM,4.207,10.8
154,06/27/20 09:30:00 PM,3.998,0.0
155,06/27/20 10:00:00 PM,4.207,0.0
156,06/27/20 10:30:00 PM,3.893,0.0
157,06/27/20 11:00:00 PM,4.102,0.0
158,06/27/20 11:30:00 PM,4.102,0.0
159,06/28/20 12:00:00 AM,4.207,0.0
160,06/28/20 12:30:00 AM,4.311,0.0
161,06/28/20 01:00:00 AM,3.998,0.0
162,06/28/20 01:30:00 AM,3.893,0.0
163,06/28/20 02:00:00 AM,3.893,0.0
164,06/28/20 02:30:00 AM,3.893,0.0
165,06/28/20 03:00:00 AM,3.998,0.0
166,06/28/20 03:30:00 AM,3.893,0.0
167,06/28/20 04:00:00 AM,3.998,0.0
168,06/28/20 04:30:00 AM,3.998,0.0
169,06/28/20 05:00:00 AM,3.998,0.0
170,06/28/20 05:30:00 AM,3.998,0.0
171,06/28/20 06:00:00 AM,3.998,0.0
172,06/28/20 06:30:00 AM,3.998,10.8
173,06/28/20 07:00:00 AM,3.998,21.5
174,06/28/20 07:30:00 AM,4.102,53.8
175,06/28/20 08:00:00 AM,4.102,64.6
176,06/28/20 08:30:00 AM,4.207,129.2
177,06/28/20 09:00:00 AM,4.207,150.7
178,06/28/20 09:30:00 AM,4.415,183.0
179,06/28/20 10:00:00 AM,4.207,279.9
180,06/28/20 10:30:00 AM,4.102,322.9
181,06/28/20 11:00:00 AM,4.102,678.1
182,06/28/20 11:30:00 AM,4.102,516.7
183,06/28/20 12:00:00 PM,4.102,279.9
184,06/28/20 12:30:00 PM,4.207,387.5
185,06/28/20 01:00:00 PM,4.102,355.2
186,06/28/20 01:30:00 PM,4.102,387.5
187,06/28/20 02:00:00 PM,4.102,355.2
188,06/28/20 02:30:00 PM,4.102,258.3
189,06/28/20 03:00:00 PM,4.102,161.5
190,06/28/20 03:30:00 PM,4.102,118.4
191,06/28/20 04:00:00 PM,4.207,10.8
192,06/28/20 04:30:00 PM,4.207,96.9
