datetime,irr_0,irr_2,irr_4,irr_8
2020-08-05T21:30:00Z,301.4,14466.8,NA,204.5
2020-08-05T22:00:00Z,150.7,9300.1,NA,139.9
2020-08-05T22:30:00Z,43.1,4305.6,NA,129.2
2020-08-05T23:00:00Z,53.8,21355.7,NA,129.2
2020-08-05T23:30:00Z,96.9,16533.4,NA,107.6
2020-08-06T00:00:00Z,43.1,3616.7,NA,53.8
2020-08-06T00:30:00Z,43.1,2411.1,NA,32.3
2020-08-06T01:00:00Z,32.3,828.8,NA,10.8
2020-08-06T01:30:00Z,53.8,1463.9,NA,21.5
2020-08-06T02:00:00Z,21.5,592,NA,0
2020-08-06T02:30:00Z,0,172.2,NA,0
2020-08-06T03:00:00Z,0,32.3,NA,0
2020-08-06T03:30:00Z,0,0,NA,0
2020-08-06T04:00:00Z,0,0,NA,0
2020-08-06T04:30:00Z,0,0,NA,0
2020-08-06T05:00:00Z,0,0,NA,0
2020-08-06T05:30:00Z,0,0,NA,0
2020-08-06T06:00:00Z,0,0,NA,0
2020-08-06T06:30:00Z,0,0,NA,0
2020-08-06T07:00:00Z,0,0,NA,0
2020-08-06T07:30:00Z,0,0,NA,0
2020-08-06T08:00:00Z,0,0,NA,0
2020-08-06T08:30:00Z,0,0,NA,0
2020-08-06T09:00:00Z,0,0,NA,0
2020-08-06T09:30:00Z,0,0,NA,0
2020-08-06T10:00:00Z,0,0,NA,0
2020-08-06T10:30:00Z,0,0,NA,0
2020-08-06T11:00:00Z,0,0,NA,0
2020-08-06T11:30:00Z,0,0,NA,0
2020-08-06T12:00:00Z,0,0,NA,0
2020-08-06T12:30:00Z,0,129.2,NA,0
2020-08-06T13:00:00Z,21.5,538.2,NA,0
2020-08-06T13:30:00Z,21.5,398.3,NA,0
2020-08-06T14:00:00Z,0,107.6,NA,0
2020-08-06T14:30:00Z,32.3,656.6,NA,0
2020-08-06T15:00:00Z,43.1,699.7,NA,0
2020-08-06T15:30:00Z,107.6,1980.6,NA,21.5
2020-08-06T16:00:00Z,43.1,667.4,NA,0
2020-08-06T16:30:00Z,150.7,2669.5,NA,32.3
2020-08-06T17:00:00Z,193.8,3616.7,NA,43.1
2020-08-06T17:30:00Z,538.2,4822.3,NA,139.9
2020-08-06T18:00:00Z,667.4,9644.5,NA,183
2020-08-06T18:30:00Z,1108.7,7577.8,NA,204.5
2020-08-06T19:00:00Z,1291.7,85422.8,NA,161.5
2020-08-06T19:30:00Z,904.2,26178,NA,161.5
2020-08-06T20:00:00Z,193.8,4133.4,NA,10.8
2020-08-06T20:30:00Z,441.3,7233.4,NA,43.1
2020-08-06T21:00:00Z,118.4,4133.4,NA,32.3
2020-08-06T21:30:00Z,1377.8,13777.9,NA,129.2
2020-08-06T22:00:00Z,807.3,5166.7,NA,64.6
2020-08-06T22:30:00Z,150.7,4650,NA,75.3
2020-08-06T23:00:00Z,129.2,3100,NA,21.5
2020-08-06T23:30:00Z,139.9,1377.8,NA,0
2020-08-07T00:00:00Z,301.4,1808.3,NA,21.5
2020-08-07T00:30:00Z,430.6,1550,NA,21.5
2020-08-07T01:00:00Z,452.1,1033.3,NA,10.8
2020-08-07T01:30:00Z,21.5,592,NA,0
2020-08-07T02:00:00Z,21.5,753.5,NA,0
2020-08-07T02:30:00Z,0,226,NA,0
2020-08-07T03:00:00Z,0,32.3,NA,0
2020-08-07T03:30:00Z,0,0,NA,0
2020-08-07T04:00:00Z,0,0,NA,0
2020-08-07T04:30:00Z,0,0,NA,0
2020-08-07T05:00:00Z,0,0,NA,0
2020-08-07T05:30:00Z,0,0,NA,0
2020-08-07T06:00:00Z,0,0,NA,0
2020-08-07T06:30:00Z,0,0,NA,0
2020-08-07T07:00:00Z,0,0,NA,0
2020-08-07T07:30:00Z,0,0,NA,0
2020-08-07T08:00:00Z,0,0,NA,0
2020-08-07T08:30:00Z,0,0,NA,0
2020-08-07T09:00:00Z,0,0,NA,0
2020-08-07T09:30:00Z,0,0,NA,0
2020-08-07T10:00:00Z,0,0,NA,0
2020-08-07T10:30:00Z,0,0,NA,0
2020-08-07T11:00:00Z,0,0,NA,0
2020-08-07T11:30:00Z,0,0,NA,0
2020-08-07T12:00:00Z,0,0,NA,0
2020-08-07T12:30:00Z,0,86.1,NA,0
2020-08-07T13:00:00Z,10.8,656.6,NA,0
2020-08-07T13:30:00Z,43.1,1227.1,NA,0
2020-08-07T14:00:00Z,75.3,882.6,NA,0
2020-08-07T14:30:00Z,96.9,2669.5,NA,21.5
2020-08-07T15:00:00Z,172.2,2238.9,NA,0
2020-08-07T15:30:00Z,150.7,3444.5,NA,32.3
2020-08-07T16:00:00Z,226,7233.4,NA,43.1
2020-08-07T16:30:00Z,742.7,10677.8,NA,64.6
2020-08-07T17:00:00Z,139.9,3788.9,NA,21.5
2020-08-07T17:30:00Z,258.3,7233.4,NA,43.1
2020-08-07T18:00:00Z,366,5166.7,NA,32.3
2020-08-07T18:30:00Z,193.8,3788.9,NA,32.3
2020-08-07T19:00:00Z,247.6,5166.7,NA,32.3
2020-08-07T19:30:00Z,1054.9,8611.2,NA,86.1
2020-08-07T20:00:00Z,322.9,5166.7,NA,32.3
2020-08-07T20:30:00Z,1550,12400.1,NA,75.3
2020-08-07T21:00:00Z,667.4,3788.9,NA,43.1
2020-08-07T21:30:00Z,1044.1,2583.4,NA,86.1
2020-08-07T22:00:00Z,139.9,2583.4,NA,10.8
2020-08-07T22:30:00Z,1808.3,5166.7,NA,53.8
2020-08-07T23:00:00Z,947.2,2152.8,NA,53.8
2020-08-07T23:30:00Z,4477.8,2066.7,NA,43.1
2020-08-08T00:00:00Z,215.3,1087.2,NA,32.3
2020-08-08T00:30:00Z,333.7,2411.1,NA,21.5
2020-08-08T01:00:00Z,430.6,904.2,NA,10.8
2020-08-08T01:30:00Z,322.9,624.3,NA,0
2020-08-08T02:00:00Z,21.5,301.4,NA,0
2020-08-08T02:30:00Z,10.8,193.8,NA,0
2020-08-08T03:00:00Z,0,21.5,NA,0
2020-08-08T03:30:00Z,0,0,NA,0
2020-08-08T04:00:00Z,0,0,NA,0
2020-08-08T04:30:00Z,0,0,NA,0
2020-08-08T05:00:00Z,0,0,NA,0
2020-08-08T05:30:00Z,0,0,NA,0
2020-08-08T06:00:00Z,0,0,NA,0
2020-08-08T06:30:00Z,0,0,NA,0
2020-08-08T07:00:00Z,0,0,NA,0
2020-08-08T07:30:00Z,0,0,NA,0
2020-08-08T08:00:00Z,0,0,NA,0
2020-08-08T08:30:00Z,0,0,NA,0
2020-08-08T09:00:00Z,0,0,NA,0
2020-08-08T09:30:00Z,0,0,NA,0
2020-08-08T10:00:00Z,0,0,NA,0
2020-08-08T10:30:00Z,0,0,NA,0
2020-08-08T11:00:00Z,0,0,NA,0
2020-08-08T11:30:00Z,0,0,NA,0
2020-08-08T12:00:00Z,0,0,NA,0
2020-08-08T12:30:00Z,0,86.1,NA,0
2020-08-08T13:00:00Z,21.5,322.9,NA,0
2020-08-08T13:30:00Z,21.5,527.4,NA,0
2020-08-08T14:00:00Z,43.1,871.9,NA,0
2020-08-08T14:30:00Z,75.3,1022.6,NA,10.8
2020-08-08T15:00:00Z,75.3,1808.3,NA,10.8
2020-08-08T15:30:00Z,183,2411.1,NA,21.5
2020-08-08T16:00:00Z,53.8,2583.4,NA,32.3
2020-08-08T16:30:00Z,387.5,7233.4,NA,32.3
2020-08-08T17:00:00Z,484.4,16533.4,NA,129.2
2020-08-08T17:30:00Z,516.7,30311.3,NA,107.6
2020-08-08T18:00:00Z,2669.5,77156.1,NA,96.9
2020-08-08T18:30:00Z,1636.1,35822.5,NA,107.6
2020-08-08T19:00:00Z,1894.5,20666.8,NA,86.1
2020-08-08T19:30:00Z,1054.9,16533.4,NA,64.6
2020-08-08T20:00:00Z,376.7,5511.1,NA,32.3
2020-08-08T20:30:00Z,2927.8,9644.5,NA,96.9
2020-08-08T21:00:00Z,839.6,5338.9,NA,75.3
2020-08-08T21:30:00Z,322.9,1980.6,NA,32.3
2020-08-08T22:00:00Z,215.3,2325,NA,21.5
2020-08-08T22:30:00Z,1345.5,4305.6,NA,53.8
2020-08-08T23:00:00Z,333.7,3444.5,NA,32.3
2020-08-08T23:30:00Z,183,2669.5,NA,21.5
2020-08-09T00:00:00Z,301.4,2411.1,NA,21.5
2020-08-09T00:30:00Z,258.3,1636.1,NA,10.8
2020-08-09T01:00:00Z,118.4,1324,NA,10.8
2020-08-09T01:30:00Z,139.9,979.5,NA,0
2020-08-09T02:00:00Z,21.5,419.8,NA,0
2020-08-09T02:30:00Z,0,75.3,NA,0
2020-08-09T03:00:00Z,0,0,NA,0
2020-08-09T03:30:00Z,0,0,NA,0
2020-08-09T04:00:00Z,0,0,NA,0
2020-08-09T04:30:00Z,0,0,NA,0
2020-08-09T05:00:00Z,0,0,NA,0
2020-08-09T05:30:00Z,0,0,NA,0
2020-08-09T06:00:00Z,0,0,NA,0
2020-08-09T06:30:00Z,0,0,NA,0
2020-08-09T07:00:00Z,0,0,NA,0
2020-08-09T07:30:00Z,0,0,NA,0
2020-08-09T08:00:00Z,0,0,NA,0
2020-08-09T08:30:00Z,0,0,NA,0
2020-08-09T09:00:00Z,0,0,NA,0
2020-08-09T09:30:00Z,0,0,NA,0
2020-08-09T10:00:00Z,0,0,NA,0
2020-08-09T10:30:00Z,0,0,NA,0
2020-08-09T11:00:00Z,0,0,NA,0
2020-08-09T11:30:00Z,0,0,NA,0
2020-08-09T12:00:00Z,0,0,NA,0
2020-08-09T12:30:00Z,0,21.5,NA,0
2020-08-09T13:00:00Z,0,269.1,NA,0
2020-08-09T13:30:00Z,10.8,430.6,NA,0
2020-08-09T14:00:00Z,53.8,1173.3,NA,10.8
2020-08-09T14:30:00Z,75.3,8611.2,NA,86.1
2020-08-09T15:00:00Z,129.2,2238.9,NA,10.8
2020-08-09T15:30:00Z,247.6,3444.5,NA,21.5
2020-08-09T16:00:00Z,355.2,7577.8,NA,53.8
2020-08-09T16:30:00Z,129.2,1377.8,NA,10.8
2020-08-09T17:00:00Z,204.5,3100,NA,21.5
2020-08-09T17:30:00Z,1087.2,34444.7,NA,96.9
