datetime,wnd
2020-08-25T15:00:00Z,0.38
2020-08-25T15:30:00Z,0.55
2020-08-25T16:00:00Z,0.43
2020-08-25T16:30:00Z,1.03
2020-08-25T17:00:00Z,0.99
2020-08-25T17:30:00Z,0.69
2020-08-25T18:00:00Z,0.98
2020-08-25T18:30:00Z,0.97
2020-08-25T19:00:00Z,1.07
2020-08-25T19:30:00Z,1.04
2020-08-25T20:00:00Z,0.5
2020-08-25T20:30:00Z,0.56
2020-08-25T21:00:00Z,0.68
2020-08-25T21:30:00Z,0.44
2020-08-25T22:00:00Z,0.38
2020-08-25T22:30:00Z,0.39
2020-08-25T23:00:00Z,0.39
2020-08-25T23:30:00Z,0.49
2020-08-26T00:00:00Z,0.38
2020-08-26T00:30:00Z,0.37
2020-08-26T01:00:00Z,0.43
2020-08-26T01:30:00Z,0.41
2020-08-26T02:00:00Z,0.37
2020-08-26T02:30:00Z,0.39
2020-08-26T03:00:00Z,0.36
2020-08-26T03:30:00Z,0.36
2020-08-26T04:00:00Z,0.36
2020-08-26T04:30:00Z,0.36
2020-08-26T05:00:00Z,0.37
2020-08-26T05:30:00Z,0.4
2020-08-26T06:00:00Z,0.42
2020-08-26T06:30:00Z,0.44
2020-08-26T07:00:00Z,0.37
2020-08-26T07:30:00Z,0.39
2020-08-26T08:00:00Z,0.37
2020-08-26T08:30:00Z,0.39
2020-08-26T09:00:00Z,0.94
2020-08-26T09:30:00Z,0.97
2020-08-26T10:00:00Z,1.36
2020-08-26T10:30:00Z,1.31
2020-08-26T11:00:00Z,1.18
2020-08-26T11:30:00Z,0.98
2020-08-26T12:00:00Z,0.67
2020-08-26T12:30:00Z,1.6
2020-08-26T13:00:00Z,2.03
2020-08-26T13:30:00Z,1.49
2020-08-26T14:00:00Z,1.59
2020-08-26T14:30:00Z,1.23
2020-08-26T15:00:00Z,1.4
2020-08-26T15:30:00Z,1.32
2020-08-26T16:00:00Z,1.44
2020-08-26T16:30:00Z,1.43
2020-08-26T17:00:00Z,1.18
2020-08-26T17:30:00Z,1.53
2020-08-26T18:00:00Z,0.99
2020-08-26T18:30:00Z,0.89
2020-08-26T19:00:00Z,0.59
2020-08-26T19:30:00Z,0.29
2020-08-26T20:00:00Z,0.29
2020-08-26T20:30:00Z,0.3
2020-08-26T21:00:00Z,0.43
2020-08-26T21:30:00Z,0.41
2020-08-26T22:00:00Z,0.33
2020-08-26T22:30:00Z,0.37
2020-08-26T23:00:00Z,0.32
2020-08-26T23:30:00Z,0.33
2020-08-27T00:00:00Z,0.4
2020-08-27T00:30:00Z,0.33
2020-08-27T01:00:00Z,0.4
2020-08-27T01:30:00Z,0.39
2020-08-27T02:00:00Z,0.33
2020-08-27T02:30:00Z,0.36
2020-08-27T03:00:00Z,0.47
2020-08-27T03:30:00Z,0.31
2020-08-27T04:00:00Z,0.3
2020-08-27T04:30:00Z,0.43
2020-08-27T05:00:00Z,0.38
2020-08-27T05:30:00Z,0.42
2020-08-27T06:00:00Z,0.42
2020-08-27T06:30:00Z,0.43
2020-08-27T07:00:00Z,0.39
2020-08-27T07:30:00Z,0.37
2020-08-27T08:00:00Z,0.29
2020-08-27T08:30:00Z,0.24
2020-08-27T09:00:00Z,0.17
2020-08-27T09:30:00Z,0.28
2020-08-27T10:00:00Z,0.33
2020-08-27T10:30:00Z,0.4
2020-08-27T11:00:00Z,0.88
2020-08-27T11:30:00Z,0.79
2020-08-27T12:00:00Z,0.63
2020-08-27T12:30:00Z,1.75
2020-08-27T13:00:00Z,1.4
2020-08-27T13:30:00Z,1.9
2020-08-27T14:00:00Z,1.65
2020-08-27T14:30:00Z,1.26
2020-08-27T15:00:00Z,1.26
2020-08-27T15:30:00Z,1.81
2020-08-27T16:00:00Z,1.34
2020-08-27T16:30:00Z,1.65
2020-08-27T17:00:00Z,1.4
2020-08-27T17:30:00Z,1.32
2020-08-27T18:00:00Z,1.01
