datetime,wnd
2020-08-05T16:00:00Z,2.03
2020-08-05T16:30:00Z,1.45
2020-08-05T17:00:00Z,1.45
2020-08-05T17:30:00Z,1.71
2020-08-05T18:00:00Z,1.76
2020-08-05T18:30:00Z,1.42
2020-08-05T19:00:00Z,1.71
2020-08-05T19:30:00Z,1.67
2020-08-05T20:00:00Z,1.14
2020-08-05T20:30:00Z,0.54
2020-08-05T21:00:00Z,0.79
2020-08-05T21:30:00Z,0.84
2020-08-05T22:00:00Z,0.81
2020-08-05T22:30:00Z,0.87
2020-08-05T23:00:00Z,0.91
2020-08-05T23:30:00Z,0.95
2020-08-06T00:00:00Z,0.99
2020-08-06T00:30:00Z,1.04
2020-08-06T01:00:00Z,0.99
2020-08-06T01:30:00Z,1.07
2020-08-06T02:00:00Z,1.1
2020-08-06T02:30:00Z,1.08
2020-08-06T03:00:00Z,1.1
2020-08-06T03:30:00Z,1.12
2020-08-06T04:00:00Z,1.16
2020-08-06T04:30:00Z,1.11
2020-08-06T05:00:00Z,1.2
2020-08-06T05:30:00Z,0.93
2020-08-06T06:00:00Z,1.06
2020-08-06T06:30:00Z,1
2020-08-06T07:00:00Z,1.04
2020-08-06T07:30:00Z,0.83
2020-08-06T08:00:00Z,0.83
2020-08-06T08:30:00Z,0.73
2020-08-06T09:00:00Z,0.79
2020-08-06T09:30:00Z,0.72
2020-08-06T10:00:00Z,0.56
2020-08-06T10:30:00Z,0.57
2020-08-06T11:00:00Z,0.2
2020-08-06T11:30:00Z,0.14
2020-08-06T12:00:00Z,0.66
2020-08-06T12:30:00Z,0.92
2020-08-06T13:00:00Z,2.01
2020-08-06T13:30:00Z,2.74
2020-08-06T14:00:00Z,2.56
2020-08-06T14:30:00Z,2.35
2020-08-06T15:00:00Z,2
2020-08-06T15:30:00Z,1.04
2020-08-06T16:00:00Z,1.62
2020-08-06T16:30:00Z,1.88
2020-08-06T17:00:00Z,2.09
2020-08-06T17:30:00Z,2.4
2020-08-06T18:00:00Z,2.25
2020-08-06T18:30:00Z,2.16
2020-08-06T19:00:00Z,2.14
2020-08-06T19:30:00Z,1.92
2020-08-06T20:00:00Z,0.94
2020-08-06T20:30:00Z,0.89
2020-08-06T21:00:00Z,0.5
2020-08-06T21:30:00Z,1.22
2020-08-06T22:00:00Z,1.86
2020-08-06T22:30:00Z,2.51
2020-08-06T23:00:00Z,1.58
2020-08-06T23:30:00Z,0.41
2020-08-07T00:00:00Z,0.74
2020-08-07T00:30:00Z,1.21
2020-08-07T01:00:00Z,0.36
2020-08-07T01:30:00Z,1.77
2020-08-07T02:00:00Z,2.95
2020-08-07T02:30:00Z,2.58
2020-08-07T03:00:00Z,1.73
2020-08-07T03:30:00Z,1.45
2020-08-07T04:00:00Z,1.82
2020-08-07T04:30:00Z,1.4
2020-08-07T05:00:00Z,0.6
2020-08-07T05:30:00Z,0.76
2020-08-07T06:00:00Z,1.21
2020-08-07T06:30:00Z,2.47
2020-08-07T07:00:00Z,2.9
2020-08-07T07:30:00Z,3.01
2020-08-07T08:00:00Z,3.49
2020-08-07T08:30:00Z,2.78
2020-08-07T09:00:00Z,2.19
2020-08-07T09:30:00Z,2.38
2020-08-07T10:00:00Z,1.85
2020-08-07T10:30:00Z,3.46
2020-08-07T11:00:00Z,2.49
2020-08-07T11:30:00Z,2.27
2020-08-07T12:00:00Z,2.46
2020-08-07T12:30:00Z,2.55
2020-08-07T13:00:00Z,1.68
2020-08-07T13:30:00Z,1.5
2020-08-07T14:00:00Z,1.99
2020-08-07T14:30:00Z,1.97
2020-08-07T15:00:00Z,2.11
2020-08-07T15:30:00Z,2.69
2020-08-07T16:00:00Z,2.87
2020-08-07T16:30:00Z,2.45
2020-08-07T17:00:00Z,3.26
2020-08-07T17:30:00Z,3
2020-08-07T18:00:00Z,2.91
2020-08-07T18:30:00Z,2.96
2020-08-07T19:00:00Z,3.34
2020-08-07T19:30:00Z,2.93
2020-08-07T20:00:00Z,2.57
2020-08-07T20:30:00Z,1.84
2020-08-07T21:00:00Z,0.91
2020-08-07T21:30:00Z,0.89
2020-08-07T22:00:00Z,0.97
2020-08-07T22:30:00Z,1.07
2020-08-07T23:00:00Z,0.92
2020-08-07T23:30:00Z,0.99
2020-08-08T00:00:00Z,1.07
2020-08-08T00:30:00Z,1.01
2020-08-08T01:00:00Z,0.96
2020-08-08T01:30:00Z,1.03
2020-08-08T02:00:00Z,1.01
2020-08-08T02:30:00Z,0.99
2020-08-08T03:00:00Z,1
2020-08-08T03:30:00Z,1.1
2020-08-08T04:00:00Z,0.98
2020-08-08T04:30:00Z,0.98
2020-08-08T05:00:00Z,1.05
2020-08-08T05:30:00Z,1.03
2020-08-08T06:00:00Z,1.13
2020-08-08T06:30:00Z,1.14
2020-08-08T07:00:00Z,0.98
2020-08-08T07:30:00Z,0.96
2020-08-08T08:00:00Z,0.75
2020-08-08T08:30:00Z,0.76
2020-08-08T09:00:00Z,0.58
2020-08-08T09:30:00Z,0.44
2020-08-08T10:00:00Z,0.52
2020-08-08T10:30:00Z,0.39
2020-08-08T11:00:00Z,1.17
2020-08-08T11:30:00Z,2.03
2020-08-08T12:00:00Z,2.05
2020-08-08T12:30:00Z,1.78
2020-08-08T13:00:00Z,2.29
2020-08-08T13:30:00Z,2.42
2020-08-08T14:00:00Z,2.16
2020-08-08T14:30:00Z,1.81
2020-08-08T15:00:00Z,2.23
2020-08-08T15:30:00Z,2.14
2020-08-08T16:00:00Z,1.71
2020-08-08T16:30:00Z,2.01
2020-08-08T17:00:00Z,2.68
2020-08-08T17:30:00Z,1.62
2020-08-08T18:00:00Z,2.15
2020-08-08T18:30:00Z,2.39
2020-08-08T19:00:00Z,2.49
2020-08-08T19:30:00Z,2.11
2020-08-08T20:00:00Z,1.91
2020-08-08T20:30:00Z,1.99
2020-08-08T21:00:00Z,2.1
2020-08-08T21:30:00Z,2.07
2020-08-08T22:00:00Z,1.97
2020-08-08T22:30:00Z,1.72
2020-08-08T23:00:00Z,1.4
2020-08-08T23:30:00Z,1.71
2020-08-09T00:00:00Z,2.04
2020-08-09T00:30:00Z,2.69
2020-08-09T01:00:00Z,2.11
2020-08-09T01:30:00Z,2.13
2020-08-09T02:00:00Z,1.93
2020-08-09T02:30:00Z,1.24
2020-08-09T03:00:00Z,1.15
2020-08-09T03:30:00Z,0.7
2020-08-09T04:00:00Z,0.64
2020-08-09T04:30:00Z,0.82
2020-08-09T05:00:00Z,0.8
2020-08-09T05:30:00Z,0.81
2020-08-09T06:00:00Z,0.79
2020-08-09T06:30:00Z,0.79
2020-08-09T07:00:00Z,0.72
2020-08-09T07:30:00Z,0.75
2020-08-09T08:00:00Z,0.56
2020-08-09T08:30:00Z,1.47
2020-08-09T09:00:00Z,1.39
2020-08-09T09:30:00Z,1.69
2020-08-09T10:00:00Z,1.46
2020-08-09T10:30:00Z,1.64
2020-08-09T11:00:00Z,1.63
2020-08-09T11:30:00Z,1.88
2020-08-09T12:00:00Z,1.73
2020-08-09T12:30:00Z,1.64
2020-08-09T13:00:00Z,2.29
2020-08-09T13:30:00Z,2.08
2020-08-09T14:00:00Z,2.29
2020-08-09T14:30:00Z,2.51
2020-08-09T15:00:00Z,2.34
2020-08-09T15:30:00Z,2.58
2020-08-09T16:00:00Z,2.07
2020-08-09T16:30:00Z,2.22
2020-08-09T17:00:00Z,2.58
2020-08-09T17:30:00Z,2.27
2020-08-09T18:00:00Z,2.5
2020-08-09T18:30:00Z,2.44
2020-08-09T19:00:00Z,2.22
2020-08-09T19:30:00Z,2.64
2020-08-09T20:00:00Z,2.1
2020-08-09T20:30:00Z,1.61
2020-08-09T21:00:00Z,1.89
2020-08-09T21:30:00Z,1.51
2020-08-09T22:00:00Z,1.86
2020-08-09T22:30:00Z,2.3
2020-08-09T23:00:00Z,1.03
2020-08-09T23:30:00Z,1.07
2020-08-10T00:00:00Z,1.02
2020-08-10T00:30:00Z,0.83
2020-08-10T01:00:00Z,1.01
2020-08-10T01:30:00Z,0.94
2020-08-10T02:00:00Z,1.1
2020-08-10T02:30:00Z,0.94
2020-08-10T03:00:00Z,0.94
2020-08-10T03:30:00Z,1.07
2020-08-10T04:00:00Z,0.91
2020-08-10T04:30:00Z,1.15
2020-08-10T05:00:00Z,1.09
2020-08-10T05:30:00Z,1
2020-08-10T06:00:00Z,1.18
2020-08-10T06:30:00Z,1.17
2020-08-10T07:00:00Z,1.1
2020-08-10T07:30:00Z,0.96
2020-08-10T08:00:00Z,0.92
2020-08-10T08:30:00Z,1.01
2020-08-10T09:00:00Z,2.46
2020-08-10T09:30:00Z,2.73
2020-08-10T10:00:00Z,2.32
2020-08-10T10:30:00Z,2.81
2020-08-10T11:00:00Z,3.39
2020-08-10T11:30:00Z,2.21
2020-08-10T12:00:00Z,2.36
2020-08-10T12:30:00Z,2.19
2020-08-10T13:00:00Z,2.37
2020-08-10T13:30:00Z,1.83
2020-08-10T14:00:00Z,1.82
2020-08-10T14:30:00Z,2.04
2020-08-10T15:00:00Z,1.75
2020-08-10T15:30:00Z,1.86
2020-08-10T16:00:00Z,1.84
2020-08-10T16:30:00Z,1.7
2020-08-10T17:00:00Z,2.01
2020-08-10T17:30:00Z,2.27
2020-08-10T18:00:00Z,2.4
2020-08-10T18:30:00Z,2.15
2020-08-10T19:00:00Z,2.26
2020-08-10T19:30:00Z,2.21
2020-08-10T20:00:00Z,1.27
2020-08-10T20:30:00Z,1.01
2020-08-10T21:00:00Z,0.75
2020-08-10T21:30:00Z,0.93
2020-08-10T22:00:00Z,1.15
2020-08-10T22:30:00Z,0.86
2020-08-10T23:00:00Z,0.97
2020-08-10T23:30:00Z,1.04
2020-08-11T00:00:00Z,1.16
2020-08-11T00:30:00Z,0.97
2020-08-11T01:00:00Z,0.99
2020-08-11T01:30:00Z,0.93
2020-08-11T02:00:00Z,0.84
2020-08-11T02:30:00Z,0.9
2020-08-11T03:00:00Z,0.91
2020-08-11T03:30:00Z,0.99
2020-08-11T04:00:00Z,1
2020-08-11T04:30:00Z,0.9
2020-08-11T05:00:00Z,0.92
2020-08-11T05:30:00Z,0.98
2020-08-11T06:00:00Z,0.88
2020-08-11T06:30:00Z,0.9
2020-08-11T07:00:00Z,0.86
2020-08-11T07:30:00Z,0.97
2020-08-11T08:00:00Z,0.94
2020-08-11T08:30:00Z,1.07
2020-08-11T09:00:00Z,0.91
2020-08-11T09:30:00Z,0.74
2020-08-11T10:00:00Z,0.67
2020-08-11T10:30:00Z,1.11
2020-08-11T11:00:00Z,0.79
2020-08-11T11:30:00Z,1.35
2020-08-11T12:00:00Z,2.62
2020-08-11T12:30:00Z,2.69
2020-08-11T13:00:00Z,2.25
2020-08-11T13:30:00Z,2.25
2020-08-11T14:00:00Z,1.21
2020-08-11T14:30:00Z,1.4
2020-08-11T15:00:00Z,1.49
2020-08-11T15:30:00Z,2.47
2020-08-11T16:00:00Z,2.44
2020-08-11T16:30:00Z,2.81
2020-08-11T17:00:00Z,2.89
2020-08-11T17:30:00Z,2.9
2020-08-11T18:00:00Z,2.69
2020-08-11T18:30:00Z,2.13
2020-08-11T19:00:00Z,2.27
2020-08-11T19:30:00Z,1.82
2020-08-11T20:00:00Z,1.56
2020-08-11T20:30:00Z,1.14
2020-08-11T21:00:00Z,0.79
2020-08-11T21:30:00Z,0.87
2020-08-11T22:00:00Z,0.83
2020-08-11T22:30:00Z,0.82
2020-08-11T23:00:00Z,0.93
2020-08-11T23:30:00Z,0.84
2020-08-12T00:00:00Z,0.79
2020-08-12T00:30:00Z,0.9
2020-08-12T01:00:00Z,0.93
2020-08-12T01:30:00Z,0.81
2020-08-12T02:00:00Z,0.94
2020-08-12T02:30:00Z,0.97
2020-08-12T03:00:00Z,1.13
2020-08-12T03:30:00Z,0.94
2020-08-12T04:00:00Z,0.77
2020-08-12T04:30:00Z,0.81
2020-08-12T05:00:00Z,0.7
2020-08-12T05:30:00Z,0.8
2020-08-12T06:00:00Z,0.99
2020-08-12T06:30:00Z,1.1
2020-08-12T07:00:00Z,0.96
2020-08-12T07:30:00Z,0.91
2020-08-12T08:00:00Z,0.9
2020-08-12T08:30:00Z,0.92
2020-08-12T09:00:00Z,0.96
2020-08-12T09:30:00Z,1.43
2020-08-12T10:00:00Z,2.23
2020-08-12T10:30:00Z,2.48
2020-08-12T11:00:00Z,2.13
2020-08-12T11:30:00Z,1.95
2020-08-12T12:00:00Z,1.94
2020-08-12T12:30:00Z,2.44
2020-08-12T13:00:00Z,2.63
2020-08-12T13:30:00Z,2.96
2020-08-12T14:00:00Z,2.12
2020-08-12T14:30:00Z,1.72
2020-08-12T15:00:00Z,2.38
2020-08-12T15:30:00Z,2.37
2020-08-12T16:00:00Z,2.66
2020-08-12T16:30:00Z,2.13
2020-08-12T17:00:00Z,2.25
2020-08-12T17:30:00Z,1.64
2020-08-12T18:00:00Z,2.32
2020-08-12T18:30:00Z,2.15
2020-08-12T19:00:00Z,1.57
2020-08-12T19:30:00Z,1.54
2020-08-12T20:00:00Z,1.37
2020-08-12T20:30:00Z,0.52
2020-08-12T21:00:00Z,0.54
2020-08-12T21:30:00Z,1.15
2020-08-12T22:00:00Z,0.54
2020-08-12T22:30:00Z,0.38
2020-08-12T23:00:00Z,0.37
2020-08-12T23:30:00Z,0.51
2020-08-13T00:00:00Z,0.68
2020-08-13T00:30:00Z,0.82
2020-08-13T01:00:00Z,0.77
2020-08-13T01:30:00Z,0.83
2020-08-13T02:00:00Z,0.8
2020-08-13T02:30:00Z,0.83
2020-08-13T03:00:00Z,1
2020-08-13T03:30:00Z,0.95
2020-08-13T04:00:00Z,1.02
2020-08-13T04:30:00Z,1.02
2020-08-13T05:00:00Z,1
2020-08-13T05:30:00Z,1.05
2020-08-13T06:00:00Z,0.96
2020-08-13T06:30:00Z,1.05
2020-08-13T07:00:00Z,1.09
2020-08-13T07:30:00Z,0.98
2020-08-13T08:00:00Z,0.8
2020-08-13T08:30:00Z,0.7
2020-08-13T09:00:00Z,0.6
2020-08-13T09:30:00Z,0.34
2020-08-13T10:00:00Z,0.69
2020-08-13T10:30:00Z,1.39
2020-08-13T11:00:00Z,1.43
2020-08-13T11:30:00Z,1.4
2020-08-13T12:00:00Z,2.16
2020-08-13T12:30:00Z,1.91
2020-08-13T13:00:00Z,1.84
2020-08-13T13:30:00Z,1.82
2020-08-13T14:00:00Z,2.04
2020-08-13T14:30:00Z,1.99
2020-08-13T15:00:00Z,2.03
2020-08-13T15:30:00Z,1.55
2020-08-13T16:00:00Z,1.69
2020-08-13T16:30:00Z,1.88
2020-08-13T17:00:00Z,1.79
2020-08-13T17:30:00Z,1.76
2020-08-13T18:00:00Z,1.5
2020-08-13T18:30:00Z,1.15
2020-08-13T19:00:00Z,1.14
2020-08-13T19:30:00Z,1.34
2020-08-13T20:00:00Z,1.19
2020-08-13T20:30:00Z,0.72
2020-08-13T21:00:00Z,0.75
2020-08-13T21:30:00Z,0.93
2020-08-13T22:00:00Z,0.93
2020-08-13T22:30:00Z,0.74
2020-08-13T23:00:00Z,0.9
2020-08-13T23:30:00Z,0.84
2020-08-14T00:00:00Z,0.99
2020-08-14T00:30:00Z,1
2020-08-14T01:00:00Z,1.07
2020-08-14T01:30:00Z,1.05
2020-08-14T02:00:00Z,1.01
2020-08-14T02:30:00Z,1
2020-08-14T03:00:00Z,1.03
2020-08-14T03:30:00Z,1.07
2020-08-14T04:00:00Z,1.07
2020-08-14T04:30:00Z,1.13
2020-08-14T05:00:00Z,0.93
2020-08-14T05:30:00Z,0.97
2020-08-14T06:00:00Z,1.01
2020-08-14T06:30:00Z,1.1
2020-08-14T07:00:00Z,1.12
2020-08-14T07:30:00Z,1.02
2020-08-14T08:00:00Z,1.02
2020-08-14T08:30:00Z,0.94
2020-08-14T09:00:00Z,1.03
2020-08-14T09:30:00Z,0.93
2020-08-14T10:00:00Z,1.8
2020-08-14T10:30:00Z,2.54
2020-08-14T11:00:00Z,2.3
2020-08-14T11:30:00Z,2.4
2020-08-14T12:00:00Z,1.7
2020-08-14T12:30:00Z,2.27
2020-08-14T13:00:00Z,2.17
2020-08-14T13:30:00Z,2.26
2020-08-14T14:00:00Z,1.86
2020-08-14T14:30:00Z,2.5
2020-08-14T15:00:00Z,2.07
2020-08-14T15:30:00Z,1.64
2020-08-14T16:00:00Z,1.96
2020-08-14T16:30:00Z,2.24
2020-08-14T17:00:00Z,2.12
